Method,SNR,Sigma,FER,Time,AvgHamming,AvgHammingCorrect,AvgHammingWrong
BP,-5.000000000000,1.257433429683,0.998600000000,0.022398148528,59.634900000000,46.071428571429,59.653915481674
BP,-4.500000000000,1.187093705498,0.984500000000,0.022038969328,55.892600000000,43.361290322581,56.089893346877
BP,-4.000000000000,1.120688723846,0.926400000000,0.021043504052,52.078700000000,43.023097826087,52.798143350604
BP,-3.500000000000,1.057998378677,0.768300000000,0.018032644524,48.207700000000,42.205869659042,50.017701418717
BP,-3.000000000000,0.998814876483,0.518500000000,0.013170365417,44.317200000000,40.822222222222,47.562777242044
BP,-2.500000000000,0.942942047540,0.262300000000,0.008013709343,40.420400000000,38.708146943202,45.235989325200
BP,-2.000000000000,0.890194695688,0.103800000000,0.004507151620,36.561100000000,35.915197500558,42.137764932563
BP,-1.500000000000,0.840397984476,0.051000000000,0.003100054189,32.741500000000,32.561116965227,36.098039215686
BP,-1.000000000000,0.793386857653,0.034300000000,0.002517014678,29.024500000000,28.994925960443,29.857142857143
BP,-0.500000000000,0.749005492070,0.032300000000,0.002287518569,25.424300000000,25.431952051256,25.195046439628
BP,0.000000000000,0.707106781187,0.035600000000,0.002191775610,21.966100000000,21.952301949399,22.339887640449
QP-ADMM,-5.000000000000,1.257433429683,0.987100000000,0.114566960119,59.634900000000,47.689922480620,59.791003950967
QP-ADMM,-4.500000000000,1.187093705498,0.943800000000,0.117276276022,55.892600000000,46.516014234875,56.450942996398
QP-ADMM,-4.000000000000,1.120688723846,0.824000000000,0.110516105338,52.076700000000,45.466477272727,53.488592233010
QP-ADMM,-3.500000000000,1.057998378677,0.598000000000,0.089713458556,48.207700000000,44.004228855721,51.033444816054
QP-ADMM,-3.000000000000,0.998814876483,0.338000000000,0.058170605355,44.315600000000,42.033534743202,48.785207100592
QP-ADMM,-2.500000000000,0.942942047540,0.136100000000,0.027781762342,40.420400000000,39.426669753444,46.728141072741
QP-ADMM,-2.000000000000,0.890194695688,0.037900000000,0.010218321393,36.561100000000,36.257457644735,44.269129287599
QP-ADMM,-1.500000000000,0.840397984476,0.007100000000,0.003257544320,32.741500000000,32.685668244536,40.549295774648
QP-ADMM,-1.000000000000,0.793386857653,0.001600000000,0.001509203632,29.025000000000,29.014523237179,35.562500000000
QP-ADMM,-0.500000000000,0.749005492070,0.000000000000,0.001044148243,25.423800000000,25.423800000000,0.000000000000
QP-ADMM,0.000000000000,0.707106781187,0.000000000000,0.000926484825,21.966100000000,21.966100000000,0.000000000000
ALP,-5.000000000000,1.257433429683,1.000000000000,0.005788574360,59.634900000000,0.000000000000,59.634900000000
ALP,-4.500000000000,1.187093705498,1.000000000000,0.005888251217,55.892600000000,0.000000000000,55.892600000000
ALP,-4.000000000000,1.120688723846,0.998600000000,0.005977388332,52.078700000000,36.500000000000,52.100540757060
ALP,-3.500000000000,1.057998378677,0.989200000000,0.006125831587,48.207700000000,36.425925925926,48.336332389810
ALP,-3.000000000000,0.998814876483,0.949700000000,0.006157435033,44.317200000000,35.383697813121,44.790354848900
ALP,-2.500000000000,0.942942047540,0.828900000000,0.005983790633,40.420100000000,34.185856224430,41.706961032694
ALP,-2.000000000000,0.890194695688,0.597400000000,0.005127432345,36.561100000000,32.758569299553,39.123702711751
ALP,-1.500000000000,0.840397984476,0.308100000000,0.003708952608,32.741500000000,30.865009394421,36.955533917559
ALP,-1.000000000000,0.793386857653,0.103700000000,0.002344348620,29.024500000000,28.330804418164,35.020250723240
ALP,-0.500000000000,0.749005492070,0.022000000000,0.001476981871,25.423900000000,25.255112474438,32.927272727273
ALP,0.000000000000,0.707106781187,0.002800000000,0.001070114612,21.966100000000,21.943441636582,30.035714285714
AGC-ALP,-5.000000000000,1.257433429683,0.999900000000,0.116210328053,59.634900000000,40.000000000000,59.636863686369
AGC-ALP,-4.500000000000,1.187093705498,0.998700000000,0.116884321988,55.892600000000,38.000000000000,55.915890657855
AGC-ALP,-4.000000000000,1.120688723846,0.989000000000,0.118221193962,52.078700000000,39.827272727273,52.214964610718
AGC-ALP,-3.500000000000,1.057998378677,0.950600000000,0.117601362132,48.207700000000,38.493927125506,48.712497370082
AGC-ALP,-3.000000000000,0.998814876483,0.830700000000,0.109358680165,44.317200000000,37.529828706438,45.700493559648
AGC-ALP,-2.500000000000,0.942942047540,0.596500000000,0.087969523969,40.420400000000,36.290954151177,43.213746856664
AGC-ALP,-2.000000000000,0.890194695688,0.298000000000,0.055202503449,36.561100000000,34.511680911681,41.388926174497
AGC-ALP,-1.500000000000,0.840397984476,0.098300000000,0.027266866561,32.741500000000,31.992791394033,39.609359104781
AGC-ALP,-1.000000000000,0.793386857653,0.017900000000,0.012908610745,29.024500000000,28.860299358517,38.033519553073
AGC-ALP,-0.500000000000,0.749005492070,0.001500000000,0.008430581966,25.424300000000,25.411617426139,33.866666666667
AGC-ALP,0.000000000000,0.707106781187,0.000000000000,0.007497613453,21.966100000000,21.966100000000,0.000000000000
